"Time","Return","Price","RelativeConditionalScale","CascadeActivity","FineScaleDissipation"
1,0.03812435249851279,103.88604097341559,1,0,0
2,-0.0028950207740524704,103.58572364886042,1,0,0
3,-0.006331616664261147,102.93193052273,1,0,0
4,-0.03431855347647162,99.45938278152381,1,0,0
5,-0.005604045143825086,98.9035667740688,1,0,0
6,-0.0269125691819622,96.27731578290184,1,0,0
7,-0.01361075743458697,94.97578608642144,1,0,0
8,-0.015455510719248085,93.51917215792655,1,0,0
9,0.0013951046896079878,93.64973224489115,1,0,0
10,-0.011727395263207853,92.55787962585403,1,0,0
11,-0.0012974889283277793,92.43786467768007,1,0,0
12,-0.00005264847598052359,92.43299809309214,1,0,0
13,0.020823149470229525,94.37792368985802,1,0,0
14,0.012682701465916772,95.58251329962573,1,0,0
15,-0.0045428521762752114,95.14928087157746,1,0,0
16,-0.0032177095297367957,94.84361016727253,1,0,0
17,-0.010239518732231131,93.87741238642705,1,0,0
18,0.01548987092628941,95.34288205371041,1,0,0
19,0.016603922277471546,96.9391634500618,1,0,0
20,0.004750621275843243,97.4007803177038,1,0,0
21,-0.006589143928820109,96.76110233694958,1,0,0
22,0.013938293904080981,98.11923002366568,1,0,0
23,-0.019262498673950048,96.24729543467579,1,0,0
24,0.0166494029995108,97.86316978876164,1,0,0
25,-0.024498570591071148,95.49479141111321,2.404234124980788,0.13199625461634984,0
26,-0.015271498288171991,94.04752198126967,2.4566182796638882,0.1415675325621977,0
27,0.0025769188008533976,94.2901873390131,2.5149555298892277,0.15302122869521445,0
28,0.009347807162109924,95.17572630297143,2.6333008112871146,0.1792604573972096,0.005662175667513883
29,-0.035017505934221684,91.90058799466668,2.7950722889549957,0.22346638796258253,0.019428017085346815
30,0.03656665520017245,95.32328197287947,2.92761869744508,0.2696268611993581,0.03601709332381977
31,0.012450160295399913,96.51749073276612,3.4139223192304256,0.6178163062089456,0.05030952828297348
32,-0.0683582952384591,90.14017401874854,3.446548506927874,0.6630793856966897,0.05984599913084387
33,-0.11749388146112244,80.14777084169559,3.471946938692956,0.7021870868169074,0.06435026776874399
34,0.09359645109384025,88.01159062317207,3.5384203579550455,0.8249130139413156,0.10286611099820257
35,-0.008727746391093553,87.24679012790921,3.6001172704300837,0.975329919809204,0.15848476456369076
36,-0.012414843847767197,86.17033071604601,3.63671058300919,1.0886818303913972,0.20771513571471964
37,0.06206609771320494,91.6880472846043,3.6502234052869156,1.1365354823673284,0.23846055163936244
38,0.04731460090866643,96.13049831395176,3.6458405276062584,1.1206140455836975,0.24913493684221344
39,0.03298819257101885,99.35455524113951,3.6271220951924064,1.056829351372271,0.24358827668121202
40,-0.05571341343262369,93.97054714740379,3.5960024468863763,0.9638681324474203,0.22720894165382224
41,-0.002195063026673451,93.76450209743204,3.553411476866854,0.8576389712008722,0.20489958190413146
42,-0.005320241418675676,93.26697696022826,3.499769541833265,0.7495853664112702,0.18035699299782434
43,-0.004843092266291085,92.8163684355143,3.4353252604622067,0.646918949072064,0.15603190580323897
44,0.05029775685218919,97.60422340684214,3.3603864055419694,0.5535497742684825,0.13335959267403802
45,0.015364787809050982,99.11547186392777,3.2754761220176896,0.4710975423655906,0.11304717453327347
46,0.04704572725163538,103.88985798996252,3.1814270062660097,0.3997371687615625,0.09532639876029543
47,-0.0762739272145204,96.26043211837693,3.079416212085738,0.3388202528740497,0.08014518409994363
48,0.0489502454700555,101.08963498935088,2.9709441737165836,0.28729405976470673,0.06729998005410748
49,0.00946173686677761,102.05065781856804,2.8577643317702695,0.2439642339285577,0.05652090035207975
50,-0.04611296031500964,97.4516516948582,2.741777701295358,0.20764745265068152,0.0475228368736153
51,-0.035776528177846816,94.02679988398633,2.6249109026811883,0.1772515220122266,0.04003371266381995
52,-0.07384914210414893,87.33320142402299,2.5089972698065726,0.15181031254156163,0.033808220108056786
53,0.00700849193298497,87.94742533919437,2.3956774913638963,0.13049223119269346,0.028632839437514337
54,-0.002333594764994639,87.74243096775163,2.2863301545434997,0.11259433880633268,0.024325948931033157
55,0.05106592449106843,92.33945605068082,2.1820355737762416,0.09752959601895594,0.020735420363528972
56,-0.0044023312641785954,91.93384065813981,2.0835702914261165,0.08481163853114586,0.01773513559637757
57,-0.00858930343346491,91.14757457786139,1.9914257510806808,0.07403951471652852,0.015221240966196748
58,-0.00004952974116295047,91.14306017388449,1.905843077921573,0.06488361032342316,0.013108570806914223
59,0.0001464648891410948,91.15641040973541,1.8268562021653512,0.0570732734982316,0.011327440781542119
60,-0.010605451485636783,90.1947638827881,1.7543369966385784,0.05038625534036821,0.009820879698923982
61,0.007138353990959638,90.84090949983394,1.6880379674552202,0.04463987455913555,0.008542297405400807
62,0.00821351154566662,91.59010490957085,1.6276298361097412,0.039683720883625186,0.007453551634808813
63,0.005273533014344704,92.07438416058524,1.5727328118364445,0.035393681500908526,0.006523362893055357
64,-0.010394874477107078,91.12223977886735,1.5229413897180821,0.031667078095009134,0.0057260240503602235
65,0.010555970885943268,92.08921820804316,1.477843152565646,0.02841872144381475,0.0050403546577441685
66,-0.04847224205780795,87.7319048201727,1.4370323856778102,0.025577716037199466,0.004448855836354124
67,0.009259824759863648,88.54805977888878,1.4001194267759511,0.023084873449385382,0.003937028114147958
68,-0.012833583965468045,87.41893169608932,1.366736650854213,0.020890617585201634,0.003492820879804194
69,0.029940655488796833,90.07588885139646,1.3365418938875782,0.01895328631874713,0.003106187765847515
70,-0.05602461127983844,85.16818198535461,2.327203453664999,0.11901059844122917,0.0027687271176235666
71,-0.023828036795310117,83.1627787067529,2.3616172724297377,0.12466109867219756,0.0024733907533926094
72,-0.00042239732960961844,83.12765838899065,2.404166263487105,0.1319842629616972,0.0022142475440775303
73,0.010879224722661155,84.0369601458082,2.508737545931635,0.15175774812296744,0.006738776225842909
74,0.012340129154916713,85.08041201192628,2.6498783233784566,0.18330329243068724,0.01668944411979541
75,0.051391415524318494,89.56711642973661,2.7701171197705046,0.21588849819263303,0.028539020186530487
76,-0.036747838063037684,86.33546038767001,2.8469186168296643,0.2402586639312042,0.03883631343316158
77,0.00844536468969144,87.06768242527723,2.882050669505086,0.25252271522966596,0.04583493653449377
78,-0.06485540909355894,81.60009009044938,2.8834562337578213,0.25302943207906003,0.049267401807709325
79,0.03889027297492238,84.83605582048598,2.8585982852061576,0.24425207984839753,0.04967968697294479
80,0.01946874313553665,86.50388983604103,2.8133229263767854,0.22921015750817547,0.047897822434194104
81,0.01969651642267332,88.22460554610177,2.7521680405601576,0.21062548053506097,0.04472462932633396
82,-0.007306261676845568,87.5823625463402,2.678820437816154,0.19060472390003652,0.04081126016143156
83,-0.031217008540717198,84.89053715037055,2.596436980294927,0.17061260782900756,0.036629723211548816
84,-0.02403692753470479,82.87435791134557,2.5078166287026846,0.1515715150402505,0.03249246532219904
85,-0.011965631581449915,81.88862310790702,2.4154664016565843,0.13399524028424642,0.028587595362271838
86,-0.007616856706597416,81.26725862601752,2.3216066172940204,0.11811354515381267,0.02501429492742096
87,-0.01870545761635029,79.76124659808053,2.2281512653808746,0.10397201872129987,0.021812307128935074
88,0.03290894636418929,82.42977355970987,2.136687823457205,0.09150542548105585,0.01898415035538973
89,0.025641742314674875,84.57074842922977,2.04847000867632,0.08058830866072161,0.01651076780936919
90,0.019821351806740304,86.26377862972606,1.9644281584573258,0.07106810028329139,0.01436198504758758
91,-0.0032516099395219107,85.98373800788599,1.8851958676032627,0.06278566327086219,0.012503164295309026
92,0.0037410490463078592,86.30600983044408,1.811148239110012,0.0555872435221606,0.01089921725106717
93,-0.014850217449841644,85.03381637152438,1.742446134789049,0.049330792028721315,0.009516859330890972
94,-0.009518708284976939,84.22824436404572,1.6790813611766886,0.04388874408288032,0.008325737422229014
95,0.027329555562787287,86.56190860132838,1.620919022464975,0.039148668855419434,0.007298864605570489
96,0.010972614460264506,87.51694911494762,1.5677347280856408,0.03501271435981948,0.0064126490022437446
97,-0.009953963539277216,86.65012989497001,1.5192456096256155,0.031396433982361305,0.005646701144539132
98,0.014176112424847327,87.88723986537796,1.4751350354937185,0.02822735327471033,0.004983534571045159
99,-0.010099176429328052,87.00411803172862,1.4350715026686802,0.025443487203718366,0.004408228415283804
100,-0.01662678048728878,85.56947942067157,1.3987224920516774,0.022991923631755708,0.003908091248493422
101,0.01366310481894044,86.74664776171394,1.3657641778979595,0.020827530407248655,0.0034723469645210124
102,-0.015087188383664867,85.44770805826403,1.3358878576887945,0.01891180849827519,0.0030918522589024736
103,0.014415327637433221,86.68838566841406,1.3088038754131486,0.017211893584709793,0.0027588486639907608
104,0.026445911907643876,89.01152241821944,1.2842436892061064,0.01569969780110797,0.002466748431277908
105,-0.03724252872321666,85.75747875135838,1.2619606088236524,0.014351178237310122,0.002209951673879026
106,0.026893065907501606,88.09505164722113,1.2417296132686928,0.013145717027862967,0.0019836913739310407
107,-0.0038505782668899436,87.75648700907004,1.2233465601399978,0.012065597938894673,0.0017839026662781101
108,0.008813962078027733,88.53338811660184,1.2066270174429692,0.011095565400676879,0.0016071129500290374
109,-0.0005322893071122762,88.48627528072673,1.1914048846479146,0.010222453403928255,0.0014503496834727095
110,-0.014144235594935304,87.2435142275668,1.177530920518178,0.009434873271531337,0.001311063085738997
111,0.015214747584000366,88.58105161983505,1.1648712581178278,0.008722950867217435,0.0011870613443967016
112,0.004476406830150222,88.9784652733028,1.1533059599947255,0.008078105225233903,0.0010764562823510357
113,0.0029989042069214953,89.24570367804199,1.1427276466590781,0.0074928618456090255,0.0009776177562199591
114,0.011776954937124369,90.30295971715921,1.1330402173386505,0.006960694991777216,0.0008891353372324424
115,0.019552816327639028,92.08601194209311,1.1241576721428261,0.006475894259231047,0.0008097860650201411
116,-0.002633018732100365,91.8438666740936,1.1160030380774901,0.006033451470775527,0.000738507267430971
117,-0.008091305499751608,91.10372827153816,1.1085073969548354,0.005628964613668448,0.0006743736097382262
118,0.026628746853278686,93.56229539272103,1.101609010483899,0.005258556084294709,0.0006165776786860451
119,-0.0002949838620677489,93.53470009576591,1.0952525362237684,0.00491880296368027,0.0005644135248693404
120,0.03184597475377529,96.56134117253409,1.08938832727583,0.004606677426956486,0.0005172626847834583
121,0.030664692705843197,99.56823210291671,2.805392682220102,0.22669282056324289,0.00047458228482538526
122,0.028975618822008616,102.49548796395133,3.337493044824555,0.5292381521199745,0.00043589489644509127
123,-0.015419623720564492,100.92716862764868,3.382248984954608,0.5784488232964439,0.0004007798669536242
124,0.034479602931270205,104.46778610639248,3.4551144796419058,0.6758615492374689,0.015028783166292492
125,-0.00785632016115979,103.65026927407656,3.573572068601491,0.9052779657847093,0.08443922235096951
126,0.07258248770361699,111.45321701356096,3.6586260897961616,1.168202670295745,0.17748490024695568
127,0.05204372609302305,117.40724887521088,3.70274743487139,1.3638641437973864,0.257099229308545
128,-0.02249243165676124,114.79595165508015,3.7194831739239502,1.454181846396629,0.30649663488468815
129,-0.10922717787265056,102.91763838864016,3.718136582463254,1.4465179303246525,0.3249405650936793
130,0.0101178207336221,103.96422627019057,3.7034304609563047,1.3673507078678715,0.3191833263950736
